timestamp,class,score,formatted_time,sentiment,subcategory
9.3,Whale vocalization,0.9798709154129028,00:09,positive,singing
9.4,Whale vocalization,0.9923859238624573,00:09,positive,singing
9.5,Whale vocalization,0.9846096634864807,00:10,positive,singing
9.600000000000001,Whale vocalization,0.9877148866653442,00:10,positive,singing
9.700000000000001,Whale vocalization,0.9936120510101318,00:10,positive,singing
9.8,Whale vocalization,0.9635380506515503,00:10,positive,singing
9.9,Whale vocalization,0.913243293762207,00:10,positive,singing
10.0,Whale vocalization,0.9097608923912048,00:10,positive,singing
10.100000000000001,Whale vocalization,0.9424334764480591,00:10,positive,singing
10.200000000000001,Whale vocalization,0.969761312007904,00:10,positive,singing
10.3,Whale vocalization,0.9604033827781677,00:10,positive,singing
10.4,Whale vocalization,0.9657191634178162,00:10,positive,singing
10.5,Whale vocalization,0.9676101803779602,00:10,positive,singing
10.600000000000001,Whale vocalization,0.9470092058181763,00:11,positive,singing
10.700000000000001,Whale vocalization,0.9308803081512451,00:11,positive,singing
10.8,Whale vocalization,0.934126615524292,00:11,positive,singing
10.9,Whale vocalization,0.9725039601325989,00:11,positive,singing
11.0,Whale vocalization,0.953521192073822,00:11,positive,singing
11.100000000000001,Whale vocalization,0.9291056990623474,00:11,positive,singing
11.200000000000001,Whale vocalization,0.9158497452735901,00:11,positive,singing
11.3,Whale vocalization,0.8700371384620667,00:11,positive,singing
11.4,Whale vocalization,0.804572582244873,00:11,positive,singing
11.5,Whale vocalization,0.7663544416427612,00:12,positive,singing
11.600000000000001,Whale vocalization,0.8614361882209778,00:12,positive,singing
11.700000000000001,Whale vocalization,0.9510329365730286,00:12,positive,singing
11.8,Whale vocalization,0.9690375328063965,00:12,positive,singing
11.9,Whale vocalization,0.9032881855964661,00:12,positive,singing
12.0,Whale vocalization,0.892906665802002,00:12,positive,singing
12.100000000000001,Whale vocalization,0.9170477986335754,00:12,positive,singing
12.200000000000001,Whale vocalization,0.940064549446106,00:12,positive,singing
12.3,Whale vocalization,0.9156203866004944,00:12,positive,singing
12.4,Whale vocalization,0.9125170111656189,00:12,positive,singing
12.5,Whale vocalization,0.9125120043754578,00:12,positive,singing
12.600000000000001,Whale vocalization,0.9350629448890686,00:13,positive,singing
12.700000000000001,Whale vocalization,0.9269909262657166,00:13,positive,singing
12.8,Whale vocalization,0.9178169369697571,00:13,positive,singing
12.9,Whale vocalization,0.927626371383667,00:13,positive,singing
13.0,Whale vocalization,0.9163717031478882,00:13,positive,singing
13.100000000000001,Whale vocalization,0.9136325716972351,00:13,positive,singing
13.200000000000001,Whale vocalization,0.9253578186035156,00:13,positive,singing
13.3,Whale vocalization,0.9679396152496338,00:13,positive,singing
13.4,Whale vocalization,0.970001220703125,00:13,positive,singing
13.5,Whale vocalization,0.9409990906715393,00:14,positive,singing
13.600000000000001,Whale vocalization,0.6562477350234985,00:14,positive,singing
13.700000000000001,Whale vocalization,0.5999076962471008,00:14,positive,singing
13.8,Whale vocalization,0.7594900131225586,00:14,positive,singing
